Temperature,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Label
18.2,3,12.0,83,0,381,0.293,67.15,0.13,1021,1.8,42,5.300000000000001,168.10327302909434
18.6,1,10.8,800,0,641,0.293,60.370000000000005,0.13,1021,1.7000000000000002,37,5.0,757.1251181470019
20.200000000000003,0,12.2,666,0,340,0.269,60.2,0.13,1013,2.0,243,2.5,634.3422243124816
23.9,3,16.0,175,0,314,0.277,61.29,0.13,1003,3.2,218,2.6,101.82316396696206
18.5,2,7.6,154,0,371,0.318,48.92,0.13,1013,2.0,281,2.0,173.3105370663261
19.200000000000003,0,9.3,903,0,683,0.294,52.61,0.13,1021,1.5,55,2.1,860.7103514489845
15.3,1,8.200000000000001,130,0,20,0.265,62.54,0.13,1023,2.4000000000000004,34,0.7000000000000001,163.75686688717013
20.6,0,12.6,850,0,632,0.277,60.21,0.13,1015,1.4,268,1.2000000000000002,833.3565264893423
17.6,0,10.7,709,0,383,0.295,64.05,0.13,1011,1.7000000000000002,288,1.7000000000000002,674.3112672322519
12.6,0,2.9000000000000004,884,0,580,0.333,51.77,0.13,1019,1.0,87,0.9,833.0140114869082
13.8,0,6.4,851,0,522,0.315,60.94,0.13,1013,1.2000000000000002,223,4.2,819.5141990465124
15.5,0,9.7,509,0,311,0.282,68.57000000000001,0.14,1020,1.8,46,2.8000000000000003,636.4055074307959
17.900000000000002,4,10.5,191,0,320,0.293,61.870000000000005,0.12,1012,2.2,227,5.1000000000000005,111.66713237335375
18.4,3,11.0,242,0,292,0.295,62.09,0.12,1006,1.9,238,1.4,154.01560705528186
15.0,0,11.3,580,0,400,0.306,78.47,0.13,1007,2.3000000000000003,215,1.4,609.4323738419268
15.1,7,9.9,12,0,115,0.293,70.89,0.13,1015,1.9,229,1.9,89.27164605745156
9.0,1,2.8000000000000003,486,0,124,0.297,65.18,0.12,1023,1.3,251,2.3000000000000003,438.2656998094082
14.7,1,8.0,782,0,423,0.294,64.08,0.11,1013,1.4,212,7.1000000000000005,735.037174543824
15.0,0,9.1,640,0,257,0.29,67.8,0.11,1012,1.4,213,7.1000000000000005,660.7716521476216
13.7,0,7.1000000000000005,822,0,431,0.317,64.4,0.11,1019,1.2000000000000002,212,5.1000000000000005,819.9787374091986
13.9,7,10.7,329,0,272,0.301,80.99,0.11,1017,1.6,217,4.3,242.0009293379377
14.3,0,10.7,762,0,366,0.275,79.02,0.11,1012,1.6,205,4.9,715.2253480964206
10.3,0,6.1000000000000005,788,0,374,0.279,75.04,0.12,1022,1.3,226,4.4,712.5729008070105
7.300000000000001,1,5.2,77,0,17,0.409,86.47,0.11,1016,1.4,295,1.3,133.15207279841434
